Name;Preis;Kategorie;Vegie;Place;Beschreibung;;;
Pesce all'Acqua Pazza;13.99;MAINDISHES;MEAT;KITCHEN;Fisch in Tomatensauce mit Knoblauch und Petersilie;;;
Cacio e Pepe;8.99;MAINDISHES;VEGETARIAN;KITCHEN;Spaghetti mit Pecorino und schwarzem Pfeffer;;;
Baba al Rum;5.99;DESSERTS;VEGETARIAN;KITCHEN;Schwammkuchen getränkt in Rum;;;
Rucola e Parmigiano;5.49;STARTER;VEGETARIAN;KITCHEN;Rucolasalat mit Kirschtomaten und Parmesan;;;
Linguine alle Vongole;9.99;MAINDISHES;MEAT;KITCHEN;Linguine mit Venusmuscheln; Knoblauch und Weißwein;;
Risotto al Nero di Seppia;10.99;MAINDISHES;MEAT;KITCHEN;Risotto mit Tintenfischtinte; Tintenfischringen und Tomaten;;
Affogato al Caffè;4.49;DESSERTS;VEGETARIAN;KITCHEN;Vanilleeis mit einem Schuss Espresso;;;
Moscato d'Asti;14.99;ALKOHOL;VEGETARIAN;BAR;Süßer italienischer Dessertwein;;;
Sgroppino;5.99;ALKOHOL;VEGETARIAN;BAR;Cocktail mit Prosecco; Zitronensorbet und Wodka;;
Mineralwasser;1.49;DRINKS;VEGAN;BAR;Spritziges Mineralwasser;;;
Tagliatelle al Ragu;9.49;MAINDISHES;MEAT;KITCHEN;Breite Bandnudeln mit klassischer Fleischsauce;;;
Focaccia con Rosmarino;4.99;STARTER;VEGAN;KITCHEN;Fluffiges Fladenbrot mit Olivenöl und Rosmarin;;;
Zuppa Toscana;6.49;STARTER;MEAT;KITCHEN;Toskanische Wurst- und Kartoffelsuppe;;;
Fiori di Zucca;7.49;STARTER;VEGAN;KITCHEN;Gebackene Zucchiniblüten mit Ricotta und Zitronenzeste;;;
Pesce Spada alla Siciliana;12.99;MAINDISHES;MEAT;KITCHEN;Sizilianisches Schwertfischsteak mit Tomaten; Oliven und Kapern;;
Torta della Nonna;5.49;DESSERTS;VEGETARIAN;KITCHEN;Traditioneller Kuchen mit Pudding und Pinienkernen;;;
Linguine al Pesto Genovese;8.99;MAINDISHES;VEGAN;KITCHEN;Linguine mit frischem Basilikumpesto und Kartoffeln;;;
Ricotta e Spinaci Ravioli;8.99;MAINDISHES;VEGETARIAN;KITCHEN;Hausgemachte Ravioli mit Ricotta und Spinatfüllung;;;
Cacio e Pere;6.99;DESSERTS;VEGETARIAN;KITCHEN;Pecorino-Käse mit Birnenmarmelade;;;
Sambuca;4.99;ALKOHOL;VEGAN;BAR;Anislikör als Digestif;;;
Caffè Shakerato;4.49;DRINKS;VEGAN;BAR;Eiskalter Espresso; geschüttelt mit Eis;;
Carpaccio di Manzo;9.99;STARTER;MEAT;KITCHEN;Hauchdünn geschnittenes Rinderfilet mit Rucola und Parmesan;;;
Paccheri all'Amatriciana;8.49;MAINDISHES;MEAT;KITCHEN;Paccheri-Nudeln mit Tomatensauce; Guanciale und Pecorino;;
Limone Sorbetto;3.99;DESSERTS;VEGAN;KITCHEN;Erfrischendes Zitronensorbet;;;
Cannelloni Ricotta e Spinaci;9.49;MAINDISHES;VEGETARIAN;KITCHEN;Überbackene Cannelloni mit Ricotta und Spinat;;;
Pizza Döner;10.49;MAINDISHES;MEAT;KITCHEN;Pizza mit Dönerfleisch und Gouda überbacken;;;
